"454740601,2025-01-01T07:50:01Z,1403/10/12 11:20,عارف,aref1313,twit,#وسینا\nدر کنار سهم خوبتون این سهم ها را هم بررسی کنید\nفاذر. غناب. تپکو"
"454740595,2025-01-01T07:49:57Z,1403/10/12 11:19,K,peykanjawanan89,twit,#خبرنا"
"454740591,2025-01-01T07:49:49Z,1403/10/12 11:19,متین م,matin94,twit,#شگستر چه تلاشی می‌کنند که سهم بالا نیاد...هر درخواست خریدی سریع جواب داده میشه...کسی خبر داره از علتش؟؟"
"454740585,2025-01-01T07:49:43Z,1403/10/12 11:19,فقط با نمودار ,amirarab64,twit,#غدشت عرض سلام \nمشکوک به الگوی پرچم \nجهت آرشیو شخصی لطفا مبنای تصمیم نباشد .\nسلب مسئولیت .\nممنون"
"454740579,2025-01-01T07:49:32Z,1403/10/12 11:19,R_H,mrdejsa,twit,#دی عجب کوفتی شده این دی...."
"454740569,2025-01-01T07:49:23Z,1403/10/12 11:19,عارف,aref1313,twit,#نطرین\nدر کنار سهم خوبتون این سهم ها را هم بررسی کنید\nفاذر. غناب. تپکو"
"454740566,2025-01-01T07:49:22Z,1403/10/12 11:19,Morteza,mortezazokaie12,twit,#کترام  جوری قیمت سهم رو داره کنترل. میکنه که پشمای بانک مرکزی ریخته ...😂😂"
"454740558,2025-01-01T07:49:09Z,1403/10/12 11:19,بنیاد کار,khodakhoda124,twit,#فسوژ دارن تلاش میکنن که با محدودیت ۳ درصد باز بشه، عیبی نداره این نیز بگذرد"
"454740551,2025-01-01T07:48:54Z,1403/10/12 11:18,Sailor,sailor,twit,#حسیر برای تحلیل تکنیکال این نمودار، ابتدا به داده‌های قابل مشاهده توجه می‌کنیم:\n\nالگوی مثلثی: در نمودار، یک مقاومت مورب مشاهده می‌شود که سقف‌های قیمتی را به هم متصل کرده و به‌عنوان سقف مثلث عمل می‌کند. این نشان‌دهنده تشکیل یک الگوی مثلث صعودی است که معمولاً به‌عنوان الگوی ادامه‌دهنده در نظر گرفته می‌شود.\n\nاندیکاتورها:\n\nMACD: هیستوگرام مثبت است و خطوط سیگنال در آستانه تقاطع صعودی قرار دارند، که معمولاً نشانه‌ای از قدرت روند صعودی است.\nRSI: نزدیک به سطح 70 است، که نشان‌دهنده اشباع خرید است، اما در صورتی که روند صعودی قوی باشد، ممکن است RSI مدت بیشتری در این محدوده باقی بماند.\nحجم معاملات: افزایش حجم معاملات در زمان شکست مقاومت می‌تواند نشانه‌ای از تایید شکست باشد.\n\nادامه روند:\nاگر قیمت بتواند مقاومت مورب را با حجم بالای معاملات بشکند، احتمال ادامه روند صعودی وجود دارد.\nدر صورت عدم شکست مقاومت، احتمال اصلاح قیمت به سطوح حمایت پایین‌تر وجود دارد (مانند میانگین متحرک 200 روزه یا لبه‌های ابر ایچیموکو).\nپیشنهاد:\nبرای تأیید شکست، منتظر بسته شدن کندل بالای مقاومت باشید.\nمراقب واکنش قیمت به سطح RSI باشید؛ در صورت شکست به سمت بالاتر، احتمال قدرت گرفتن روند بیشتر می‌شود."
"454740543,2025-01-01T07:48:41Z,1403/10/12 11:18,سهامدار,daniyal5719,twit,#حسیر از صف فروش خرید شد"
